Предмет,id блока вопросов,Класс,Номер блока вопросов
english,10,2,3
english,11,5,1
english,33,5,1
english,34,5,2
english,35,5,2
english,36,5,2
english,38,5,2
english,30,5,3
english,31,5,3
english,32,5,3
english,37,5,3
english,39,5,3
english,40,5,4
english,12,6,1
english,13,6,1
english,44,6,1
english,48,6,1
english,52,6,1
english,56,6,1
english,71,6,1
english,72,6,1
english,73,6,1
english,14,6,2
english,41,6,2
english,45,6,2
english,49,6,2
english,53,6,2
english,42,6,3
english,43,6,3
english,46,6,3
english,47,6,3
english,50,6,3
english,51,6,3
english,54,6,3
english,55,6,3
english,1,7,1
english,60,7,1
english,62,7,1
english,65,7,1
english,66,7,1
english,67,7,1
english,4,7,2
english,57,7,2
english,63,7,2
english,68,7,2
english,69,7,2
english,2,7,3
english,15,7,3
english,58,7,3
english,59,7,3
english,64,7,3
english,3,7,4
english,5,7,4
english,6,8,1
english,7,8,1
english,23,8,1
english,26,8,1
english,27,8,1
english,81,8,1
english,84,8,1
english,8,8,2
english,24,8,2
english,28,8,2
english,75,8,2
english,17,8,3
english,25,8,3
english,61,8,3
english,70,8,3
english,9,9,1
english,21,9,1
english,29,9,1
english,20,9,2
english,22,9,2
english,74,9,2
english,16,9,4
english,18,9,4
english,19,9,5
english,82,10,1
english,83,10,1
english,85,10,1
english,86,10,1
english,87,10,1
english,88,10,1
english,90,10,1
english,91,10,1
english,92,10,1
english,80,10,2
english,89,10,2
english,94,10,2
english,76,10,3
english,93,10,3
english,77,10,4
english,78,10,5
english,79,10,6
