Предмет,id вопроса,Класс,Номер вопроса
literature,1,7,1
literature,11,7,1
literature,24,7,1
literature,29,7,1
literature,2,7,2
literature,12,7,2
literature,25,7,2
literature,30,7,2
literature,3,7,3
literature,13,7,3
literature,26,7,3
literature,31,7,3
literature,4,7,4
literature,14,7,4
literature,27,7,4
literature,32,7,4
literature,5,7,5
literature,15,7,5
literature,33,7,5
literature,6,7,6
literature,16,7,6
literature,34,7,6
literature,7,7,7
literature,17,7,7
literature,35,7,7
literature,8,7,8
literature,18,7,8
literature,36,7,8
literature,9,7,9
literature,19,7,9
literature,37,7,9
literature,10,7,10
literature,20,7,10
literature,28,7,10
literature,38,7,10
literature,21,7,11
literature,22,7,12
literature,23,7,13
