Предмет,id вопроса,Класс,Номер вопроса
mathematics,1,2,1
mathematics,2,2,2
mathematics,3,8,1
mathematics,4,8,1
mathematics,5,8,1
mathematics,6,8,1
mathematics,7,8,1
mathematics,8,8,1
mathematics,9,8,1
mathematics,10,8,1
mathematics,16,8,2
mathematics,17,8,2
mathematics,18,8,2
mathematics,19,8,2
mathematics,20,8,2
mathematics,21,8,2
mathematics,22,8,2
mathematics,45,8,2
mathematics,46,8,2
mathematics,47,8,2
mathematics,23,8,3
mathematics,24,8,3
mathematics,25,8,3
mathematics,26,8,3
mathematics,27,8,3
mathematics,48,8,3
mathematics,49,8,3
mathematics,50,8,3
mathematics,28,8,4
mathematics,29,8,4
mathematics,30,8,4
mathematics,31,8,4
mathematics,32,8,4
mathematics,51,8,4
mathematics,52,8,4
mathematics,33,8,5
mathematics,34,8,5
mathematics,35,8,5
mathematics,36,8,5
mathematics,53,8,6
mathematics,54,8,6
mathematics,55,8,6
mathematics,56,8,7
mathematics,57,8,7
mathematics,58,8,8
mathematics,59,8,8
mathematics,60,8,8
mathematics,61,8,8
mathematics,62,8,8
mathematics,63,8,8
mathematics,37,8,9
mathematics,38,8,9
mathematics,39,8,9
mathematics,40,8,9
mathematics,64,8,9
mathematics,65,8,9
mathematics,11,8,10
mathematics,12,8,10
mathematics,13,8,10
mathematics,14,8,10
mathematics,15,8,10
mathematics,41,8,10
mathematics,42,8,10
mathematics,43,8,10
mathematics,44,8,10
mathematics,66,8,10
mathematics,67,8,10
mathematics,68,8,10
mathematics,69,8,11
mathematics,70,8,11
mathematics,71,8,11
